test_name,mapName,inference,observe,elapse,maxMoves,numGhosts,L2Tolerance,win,score,execution_time,l2_error,kl_divergence
customTest1,walls,ExactInference,True,True,100,1,0.0001,True,191.0,0.0230000019073,2.70703625151e-24,-3.90680655886e-10
customTest2,walls,ExactInference,True,False,100,1,0.0001,True,191.0,0.0110001564026,1.9706318691e-24,-3.3289026531e-10
customTest3,walls,ExactInference,False,True,100,1,0.0001,True,191.0,0.0230000019073,5.49932540944e-25,-6.54297624672e-10
customTest4,walls,ExactInference,False,False,100,1,0.0001,True,191.0,0.0189998149872,4.77237213417e-25,-6.66598443131e-10
customTest5,empty,ExactInference,True,True,100,1,0.0001,False,-100.0,0.315999984741,1.93205479373e-23,-5.10853123839e-09
customTest6,empty,ExactInference,True,False,100,1,0.0001,False,-100.0,0.108999967575,1.94444731245e-23,-1.48442629111e-09
customTest7,empty,ExactInference,False,True,100,1,0.0001,False,-100.0,0.301000118256,5.78591442779e-24,-7.34031587152e-09
customTest8,empty,ExactInference,False,False,100,1,0.0001,False,-100.0,0.118000030518,9.06915967884e-25,-7.42561012706e-09
customTest9,walls,ExactInference,True,True,100,2,0.0001,True,302.0,0.402000188828,4.11750523168e-23,-6.28011845827e-09
customTest10,walls,ExactInference,True,False,100,2,0.0001,True,302.0,0.204999923706,2.09030780781e-23,-2.09463500754e-09
customTest11,walls,ExactInference,False,True,100,2,0.0001,True,302.0,0.458000183105,9.83779602464e-24,-1.18169864999e-08
customTest12,walls,ExactInference,False,False,100,2,0.0001,True,302.0,0.15299987793,8.67704024394e-24,-1.21199716933e-08
customTest13,empty,ExactInference,True,True,100,2,0.0001,False,100.0,0.521999835968,2.28848450574e-23,-6.45232839213e-09
customTest14,empty,ExactInference,True,False,100,2,0.0001,False,100.0,0.167999982834,1.54544263751e-23,-2.0217667152e-09
customTest15,empty,ExactInference,False,True,100,2,0.0001,False,100.0,0.541999816895,1.15861922043e-23,-1.46782314403e-08
customTest16,empty,ExactInference,False,False,100,2,0.0001,False,100.0,0.190999984741,1.81383193577e-24,-1.48512202541e-08
customTest17,walls,ExactInference,True,True,100,3,0.0001,False,100.0,0.632999897003,6.49752069749e-23,-1.01333623069e-08
customTest18,walls,ExactInference,True,False,100,3,0.0001,False,100.0,0.228999853134,3.37632203264e-23,-3.1052433566e-09
customTest19,walls,ExactInference,False,True,100,3,0.0001,False,100.0,0.646000146866,1.5079865111e-23,-1.80786801033e-08
customTest20,walls,ExactInference,False,False,100,3,0.0001,False,100.0,0.226999998093,1.32758715732e-23,-1.85435566907e-08
customTest21,empty,ExactInference,True,True,100,3,0.0001,False,-100.0,0.840000152588,7.32498640162e-23,-1.40683178528e-08
customTest22,empty,ExactInference,True,False,100,3,0.0001,False,-100.0,0.274000167847,4.04107508572e-23,-3.99703668443e-09
customTest23,empty,ExactInference,False,True,100,3,0.0001,False,-100.0,0.849999904633,1.73864699808e-23,-2.2016147009e-08
customTest24,empty,ExactInference,False,False,100,3,0.0001,False,-100.0,0.256999969482,2.72074790365e-24,-2.22768303812e-08
customTest25,walls,ExactInference,True,True,100,4,0.0001,False,100.0,0.837000131607,1.06866105217e-22,-1.4918926067e-08
customTest26,walls,ExactInference,True,False,100,4,0.0001,False,100.0,0.293999910355,6.36378805282e-23,-5.15043796491e-09
customTest27,walls,ExactInference,False,True,100,4,0.0001,False,100.0,0.827999830246,2.01106738469e-23,-2.41041733189e-08
customTest28,walls,ExactInference,False,False,100,4,0.0001,False,100.0,0.331000089645,1.77011620976e-23,-2.47247422543e-08
customTest29,empty,ExactInference,True,True,100,4,0.0001,False,100.0,1.01900005341,7.93798085364e-23,-1.46052756441e-08
customTest30,empty,ExactInference,True,False,100,4,0.0001,False,100.0,0.34299993515,5.54634279026e-23,-6.15370319696e-09
customTest31,empty,ExactInference,False,True,100,4,0.0001,False,100.0,1.09099984169,2.31867477572e-23,-2.93540625777e-08
customTest32,empty,ExactInference,False,False,100,4,0.0001,False,100.0,0.407999992371,3.62766387154e-24,-2.97024405082e-08
